Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok ,1,1,1,0,0,0,0,0,1,1,0,0
siapa yang telat memberi tau eluedan  gue bergaul dengan cigax jifla calis sama siapa itu licew juga,0,1,0,0,0,0,0,0,0,0,0,0
41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
aku itu akunnku tau matamu  tapi dilihat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0
kaum   sudah kelihatan dongoknya dari awal tambah  lagi haha,1,1,0,1,1,0,0,0,0,0,1,0
ya   dan kawan kawan xf0x9fx98x84xf0x9fx98x84xf0x9fx98x84,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue baru saja selesai rewatch aldnoah zero paling  memang akhirnya 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak meuaku taipan 2 depan kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
enak lagi kalau sambil ,0,1,0,0,0,0,0,0,0,0,0,0
setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama  kamu xf0x9fx98x8f,1,1,1,0,0,0,0,0,1,1,0,0
 kaleng malu tidak bisa jawab peanyaan kami dari 2 hari lalu nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
bu guru enakan jadi  atau guru sekolah dasar sihnkayaknya menikmati jadi  ini guru,1,1,1,0,0,0,0,1,0,1,0,0
lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing  gue mengakui hadis nabi dan itu sahih  kayak kamu pasti menolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
belakangan ini kok pikiran  banget ya,0,0,0,0,0,0,0,0,0,0,0,0
ari sama beki adalah rapi monyetxf0x9fx98x86xf0x9fx98x86,0,1,0,0,0,0,0,0,0,0,0,0
jadi cowok itu harus gantle kalau tidak gantle itu namanya ,1,1,0,1,0,0,0,1,0,0,1,0
